cell_id,clamp_width,collision_threshold,empty_threshold,frame_count,pointcloud_feasible_candidate_count,mean_pointcloud_feasible_candidate_count,pointcloud_feasible_frame_count,clamp_recovered_candidate_count,successful_frame_count,success_rate,failure_reason_counts
clamp-off_ct-0.005_et-0.01,False,0.005,0.01,40,114,2.85,39,0,21,0.525,"{""gripper-infeasible"": 1, ""risk-threshold"": 18}"
clamp-off_ct-0.01_et-0.01,False,0.01,0.01,40,128,3.2,39,0,23,0.575,"{""gripper-infeasible"": 1, ""risk-threshold"": 16}"
clamp-off_ct-0.02_et-0.01,False,0.02,0.01,40,177,4.425,39,0,29,0.725,"{""gripper-infeasible"": 1, ""risk-threshold"": 10}"
clamp-off_ct-0.03_et-0.01,False,0.03,0.01,40,230,5.75,40,0,33,0.825,"{""risk-threshold"": 7}"
clamp-on_ct-0.005_et-0.01,True,0.005,0.01,40,166,4.15,39,52,22,0.55,"{""gripper-infeasible"": 1, ""risk-threshold"": 17}"
clamp-on_ct-0.01_et-0.01,True,0.01,0.01,40,197,4.925,39,69,25,0.625,"{""gripper-infeasible"": 1, ""risk-threshold"": 14}"
clamp-on_ct-0.02_et-0.01,True,0.02,0.01,40,276,6.9,40,99,35,0.875,"{""risk-threshold"": 5}"
clamp-on_ct-0.03_et-0.01,True,0.03,0.01,40,364,9.1,40,134,34,0.85,"{""risk-threshold"": 6}"
