pixel_radius,depth_tolerance_m,total_candidates,bound_count,bound_ratio,status_counts
0,0.08,1389,522,0.3758099352051836,"{""background"": 867, ""bound"": 522}"
0,0.12,1389,522,0.3758099352051836,"{""background"": 867, ""bound"": 522}"
0,0.2,1389,522,0.3758099352051836,"{""background"": 867, ""bound"": 522}"
0,,1389,522,0.3758099352051836,"{""background"": 867, ""bound"": 522}"
2,0.08,1389,555,0.39956803455723544,"{""background"": 828, ""bound"": 555, ""depth-mismatch"": 6}"
2,0.12,1389,556,0.40028797696184304,"{""background"": 828, ""bound"": 556, ""depth-mismatch"": 5}"
2,0.2,1389,557,0.4010079193664507,"{""background"": 828, ""bound"": 557, ""depth-mismatch"": 4}"
2,,1389,561,0.4038876889848812,"{""background"": 828, ""bound"": 561}"
3,0.08,1389,572,0.4118070554355652,"{""background"": 807, ""bound"": 572, ""depth-mismatch"": 10}"
3,0.12,1389,575,0.413966882649388,"{""background"": 807, ""bound"": 575, ""depth-mismatch"": 7}"
3,0.2,1389,577,0.41540676745860333,"{""background"": 807, ""bound"": 577, ""depth-mismatch"": 5}"
3,,1389,582,0.4190064794816415,"{""background"": 807, ""bound"": 582}"
5,0.08,1389,589,0.4240460763138949,"{""background"": 784, ""bound"": 589, ""depth-mismatch"": 16}"
5,0.12,1389,593,0.4269258459323254,"{""background"": 784, ""bound"": 593, ""depth-mismatch"": 12}"
5,0.2,1389,596,0.4290856731461483,"{""background"": 784, ""bound"": 596, ""depth-mismatch"": 9}"
5,,1389,605,0.435565154787617,"{""background"": 784, ""bound"": 605}"
8,0.08,1389,613,0.44132469402447805,"{""background"": 756, ""bound"": 613, ""depth-mismatch"": 20}"
8,0.12,1389,617,0.44420446364290855,"{""background"": 756, ""bound"": 617, ""depth-mismatch"": 16}"
8,0.2,1389,621,0.4470842332613391,"{""background"": 756, ""bound"": 621, ""depth-mismatch"": 12}"
8,,1389,633,0.4557235421166307,"{""background"": 756, ""bound"": 633}"
