pixel_radius,depth_tolerance_m,total_candidates,bound_count,bound_ratio,status_counts
0,0.08,1444,485,0.33587257617728533,"{""background"": 959, ""bound"": 485}"
0,0.12,1444,485,0.33587257617728533,"{""background"": 959, ""bound"": 485}"
0,0.2,1444,485,0.33587257617728533,"{""background"": 959, ""bound"": 485}"
0,,1444,485,0.33587257617728533,"{""background"": 959, ""bound"": 485}"
2,0.08,1444,527,0.3649584487534626,"{""background"": 915, ""bound"": 527, ""depth-mismatch"": 2}"
2,0.12,1444,527,0.3649584487534626,"{""background"": 915, ""bound"": 527, ""depth-mismatch"": 2}"
2,0.2,1444,528,0.3656509695290859,"{""background"": 915, ""bound"": 528, ""depth-mismatch"": 1}"
2,,1444,529,0.36634349030470914,"{""background"": 915, ""bound"": 529}"
3,0.08,1444,561,0.38850415512465375,"{""background"": 880, ""bound"": 561, ""depth-mismatch"": 3}"
3,0.12,1444,561,0.38850415512465375,"{""background"": 880, ""bound"": 561, ""depth-mismatch"": 3}"
3,0.2,1444,563,0.3898891966759003,"{""background"": 880, ""bound"": 563, ""depth-mismatch"": 1}"
3,,1444,564,0.39058171745152354,"{""background"": 880, ""bound"": 564}"
5,0.08,1444,595,0.4120498614958449,"{""background"": 836, ""bound"": 595, ""depth-mismatch"": 13}"
5,0.12,1444,597,0.4134349030470914,"{""background"": 836, ""bound"": 597, ""depth-mismatch"": 11}"
5,0.2,1444,605,0.41897506925207756,"{""background"": 836, ""bound"": 605, ""depth-mismatch"": 3}"
5,,1444,608,0.42105263157894735,"{""background"": 836, ""bound"": 608}"
8,0.08,1444,632,0.4376731301939058,"{""background"": 782, ""bound"": 632, ""depth-mismatch"": 30}"
8,0.12,1444,635,0.43975069252077564,"{""background"": 782, ""bound"": 635, ""depth-mismatch"": 27}"
8,0.2,1444,653,0.45221606648199447,"{""background"": 782, ""bound"": 653, ""depth-mismatch"": 9}"
8,,1444,662,0.4584487534626039,"{""background"": 782, ""bound"": 662}"
