pixel_radius,depth_tolerance_m,total_candidates,bound_count,bound_ratio,status_counts
0,0.08,1211,413,0.34104046242774566,"{""background"": 798, ""bound"": 413}"
0,0.12,1211,413,0.34104046242774566,"{""background"": 798, ""bound"": 413}"
0,0.2,1211,413,0.34104046242774566,"{""background"": 798, ""bound"": 413}"
0,,1211,413,0.34104046242774566,"{""background"": 798, ""bound"": 413}"
2,0.08,1211,458,0.3781998348472337,"{""background"": 751, ""bound"": 458, ""depth-mismatch"": 2}"
2,0.12,1211,459,0.3790255986787779,"{""background"": 751, ""bound"": 459, ""depth-mismatch"": 1}"
2,0.2,1211,460,0.37985136251032203,"{""background"": 751, ""bound"": 460}"
2,,1211,460,0.37985136251032203,"{""background"": 751, ""bound"": 460}"
3,0.08,1211,472,0.3897605284888522,"{""background"": 737, ""bound"": 472, ""depth-mismatch"": 2}"
3,0.12,1211,473,0.3905862923203964,"{""background"": 737, ""bound"": 473, ""depth-mismatch"": 1}"
3,0.2,1211,474,0.3914120561519405,"{""background"": 737, ""bound"": 474}"
3,,1211,474,0.3914120561519405,"{""background"": 737, ""bound"": 474}"
5,0.08,1211,501,0.41370767960363336,"{""background"": 704, ""bound"": 501, ""depth-mismatch"": 6}"
5,0.12,1211,505,0.41701073492981006,"{""background"": 704, ""bound"": 505, ""depth-mismatch"": 2}"
5,0.2,1211,507,0.4186622625928984,"{""background"": 704, ""bound"": 507}"
5,,1211,507,0.4186622625928984,"{""background"": 704, ""bound"": 507}"
8,0.08,1211,532,0.4393063583815029,"{""background"": 667, ""bound"": 532, ""depth-mismatch"": 12}"
8,0.12,1211,540,0.44591246903385634,"{""background"": 667, ""bound"": 540, ""depth-mismatch"": 4}"
8,0.2,1211,543,0.44838976052848883,"{""background"": 667, ""bound"": 543, ""depth-mismatch"": 1}"
8,,1211,544,0.44921552436003304,"{""background"": 667, ""bound"": 544}"
