pixel_radius,depth_tolerance_m,total_candidates,bound_count,bound_ratio,status_counts
0,0.08,1225,433,0.35346938775510206,"{""background"": 792, ""bound"": 433}"
0,0.12,1225,433,0.35346938775510206,"{""background"": 792, ""bound"": 433}"
0,0.2,1225,433,0.35346938775510206,"{""background"": 792, ""bound"": 433}"
0,,1225,433,0.35346938775510206,"{""background"": 792, ""bound"": 433}"
2,0.08,1225,472,0.3853061224489796,"{""background"": 751, ""bound"": 472, ""depth-mismatch"": 2}"
2,0.12,1225,473,0.38612244897959186,"{""background"": 751, ""bound"": 473, ""depth-mismatch"": 1}"
2,0.2,1225,474,0.38693877551020406,"{""background"": 751, ""bound"": 474}"
2,,1225,474,0.38693877551020406,"{""background"": 751, ""bound"": 474}"
3,0.08,1225,493,0.40244897959183673,"{""background"": 727, ""bound"": 493, ""depth-mismatch"": 5}"
3,0.12,1225,495,0.40408163265306124,"{""background"": 727, ""bound"": 495, ""depth-mismatch"": 3}"
3,0.2,1225,497,0.4057142857142857,"{""background"": 727, ""bound"": 497, ""depth-mismatch"": 1}"
3,,1225,498,0.40653061224489795,"{""background"": 727, ""bound"": 498}"
5,0.08,1225,516,0.42122448979591837,"{""background"": 700, ""bound"": 516, ""depth-mismatch"": 9}"
5,0.12,1225,520,0.42448979591836733,"{""background"": 700, ""bound"": 520, ""depth-mismatch"": 5}"
5,0.2,1225,524,0.42775510204081635,"{""background"": 700, ""bound"": 524, ""depth-mismatch"": 1}"
5,,1225,525,0.42857142857142855,"{""background"": 700, ""bound"": 525}"
8,0.08,1225,547,0.446530612244898,"{""background"": 660, ""bound"": 547, ""depth-mismatch"": 18}"
8,0.12,1225,556,0.45387755102040817,"{""background"": 660, ""bound"": 556, ""depth-mismatch"": 9}"
8,0.2,1225,563,0.4595918367346939,"{""background"": 660, ""bound"": 563, ""depth-mismatch"": 2}"
8,,1225,565,0.46122448979591835,"{""background"": 660, ""bound"": 565}"
